County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,Population,Insured_rate,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,State,Regions,Insured_rate_EqWidth,Ave_Payment_EqWidth,Pop_EqWidth
"abbeville, sc",16439.5,16146.5,16732.5,3070.0,2777.0,3363.0,19509.5,0.8429654883620026,16912.0,18799.5,20882.0,sc,southeast,Low,Moderate,Very_Small
"acadia, la",44109.5,43313.0,44906.0,9323.5,8527.0,10120.0,53433.0,0.8255227986721099,14741.5,16055.0,17473.0,la,southeast,Very_Low,Very_Cheap,Small
"accomack, va",20796.5,20376.0,21217.0,5046.5,4626.0,5467.0,25843.0,0.8048611971063824,17237.0,19081.333333333332,21082.666666666668,va,southeast,Very_Low,Moderate,Very_Small
"adair, ia",5247.5,5197.5,5297.5,433.5,383.5,483.5,5681.0,0.9241055387300446,11657.0,14033.0,16234.0,ia,midwest,High,Very_Cheap,Very_Small
"adair, ky",12497.0,12280.0,12714.0,2164.5,1947.5,2381.5,14661.5,0.8526395100760249,12262.0,14197.5,16311.5,ky,southeast,Low,Very_Cheap,Very_Small
"adair, mo",16391.5,16065.5,16717.5,2902.5,2576.5,3228.5,19294.0,0.8497192723261875,19437.75,21531.0,23824.25,mo,midwest,Low,Expensive,Very_Small
"adair, ok",14111.5,13773.5,14449.5,4569.0,4231.0,4907.0,18680.5,0.7555869941507736,11781.0,13180.0,14623.0,ok,southwest,Very_Low,Very_Cheap,Very_Small
"adams, ia",2672.0,2638.5,2705.5,307.5,274.0,341.0,2979.5,0.8971966223404435,14498.0,17010.0,19588.0,ia,midwest,Fair,Cheap,Very_Small
"adams, il",49308.0,48863.5,49752.5,4335.5,3891.0,4780.0,53643.5,0.9193197306467742,18387.5,19432.5,20533.0,il,midwest,High,Moderate,Small
"adams, in",24799.5,24341.0,25258.0,4713.5,4255.0,5172.0,29513.0,0.8402612265098806,15759.333333333334,17451.0,19304.333333333332,in,midwest,Low,Cheap,Very_Small
"adams, ms",19510.5,19092.0,19929.0,4475.5,4057.0,4894.0,23986.0,0.8138865227708341,18742.25,21079.25,23670.0,ms,southeast,Very_Low,Expensive,Very_Small
"adams, nd",1529.0,1503.5,1554.5,230.0,204.5,255.5,1759.0,0.8694301824405238,12067.5,13489.0,15100.0,nd,midwest,Fair,Very_Cheap,Very_Small
"adams, ne",22313.5,22025.0,22602.0,2811.0,2522.5,3099.5,25124.5,0.8882218257325302,18587.5,20187.75,21963.0,ne,midwest,Fair,Moderate,Very_Small
"adams, oh",20386.0,20103.5,20668.5,2873.0,2590.5,3155.5,23259.0,0.8767852985721183,14013.0,15678.5,17491.0,oh,midwest,Fair,Very_Cheap,Very_Small
"adams, pa",72116.0,71414.5,72817.5,8141.5,7440.0,8843.0,80257.5,0.8986194552449472,18017.75,19456.25,21039.5,pa,northeast,Fair,Moderate,Medium
"adams, wi",12022.5,11876.5,12168.5,1487.5,1341.5,1633.5,13510.0,0.8904286138007502,15411.0,18212.0,21224.0,wi,midwest,Fair,Cheap,Very_Small
"addison, vt",26255.0,26035.0,26475.0,1948.0,1728.0,2168.0,28203.0,0.9310340513921076,16007.333333333334,17368.666666666668,18803.333333333332,vt,northeast,High,Cheap,Very_Small
"aiken, sc",114563.0,112981.5,116144.5,19552.0,17970.5,21133.5,134115.0,0.8542656185654117,18445.25,19795.5,21207.25,sc,southeast,Low,Moderate,Large
